market_date,mean_sentiment,tweet_count
2020-09-06,-0.0961951782757585,11
2020-09-07,-0.1107856725156307,25
2020-09-08,-0.3792519732777561,35
2020-09-09,-0.3275302904192358,40
2020-09-10,-0.2344725137870562,38
2020-09-11,-0.115691702987533,32
2020-09-12,-0.1817948529496789,18
2020-09-13,-0.241026232285159,21
2020-09-14,0.0731200205702935,31
2020-09-15,-0.2439837780210279,31
2020-09-16,-0.0842378989738576,51
2020-09-17,-0.0917375775821068,51
2020-09-18,-0.1184290006963743,36
2020-09-19,-0.2907307301958402,15
2020-09-20,-0.1178578300168737,16
2020-09-21,-0.0696124626273239,37
2020-09-22,-0.1888898866871992,30
2020-09-23,-0.0294845742281786,43
2020-09-24,-0.0312441887164657,44
2020-09-25,-0.1727932384237647,34
2020-09-26,-0.2025393474508415,11
2020-09-27,-0.0500383004546165,16
